漢字,JIS面区点コード,ユニコード,JIS水準
俱,1-14-01,U+4FF1,3
𠀋,1-14-02,U+2000B,3
㐂,1-14-03,U+3402,3
丨,1-14-04,U+4E28,3
丯,1-14-05,U+4E2F,3
丰,1-14-06,U+4E30,3
亍,1-14-07,U+4E8D,3
仡,1-14-08,U+4EE1,3
份,1-14-09,U+4EFD,3
仿,1-14-10,U+4EFF,3
伃,1-14-11,U+4F03,3
伋,1-14-12,U+4F0B,3
你,1-14-13,U+4F60,3
佈,1-14-14,U+4F48,3
佉,1-14-15,U+4F49,3
佖,1-14-16,U+4F56,3
佟,1-14-17,U+4F5F,3
佪,1-14-18,U+4F6A,3
佬,1-14-19,U+4F6C,3
佾,1-14-20,U+4F7E,3
侊,1-14-21,U+4F8A,3
侔,1-14-22,U+4F94,3
侗,1-14-23,U+4F97,3
侮,1-14-24,U+FA30,3
俉,1-14-25,U+4FC9,3
俠,1-14-26,U+4FE0,3
倁,1-14-27,U+5001,3
倂,1-14-28,U+5002,3
倎,1-14-29,U+500E,3
倘,1-14-30,U+5018,3
倧,1-14-31,U+5027,3
倮,1-14-32,U+502E,3
偀,1-14-33,U+5040,3
倻,1-14-34,U+503B,3
偁,1-14-35,U+5041,3
傔,1-14-36,U+5094,3
僌,1-14-37,U+50CC,3
僲,1-14-38,U+50F2,3
僐,1-14-39,U+50D0,3
僦,1-14-40,U+50E6,3
僧,1-14-41,U+FA31,3
儆,1-14-42,U+5106,3
儃,1-14-43,U+5103,3
儋,1-14-44,U+510B,3
儞,1-14-45,U+511E,3
儵,1-14-46,U+5135,3
兊,1-14-47,U+514A,3
免,1-14-48,U+FA32,3
兕,1-14-49,U+5155,3
兗,1-14-50,U+5157,3
㒵,1-14-51,U+34B5,3
冝,1-14-52,U+519D,3
凃,1-14-53,U+51C3,3
凊,1-14-54,U+51CA,3
凞,1-14-55,U+51DE,3
凢,1-14-56,U+51E2,3
凮,1-14-57,U+51EE,3
刁,1-14-58,U+5201,3
㓛,1-14-59,U+34DB,3
刓,1-14-60,U+5213,3
刕,1-14-61,U+5215,3
剉,1-14-62,U+5249,3
剗,1-14-63,U+5257,3
剡,1-14-64,U+5261,3
劓,1-14-65,U+5293,3
勈,1-14-66,U+52C8,3
勉,1-14-67,U+FA33,3
勌,1-14-68,U+52CC,3
勐,1-14-69,U+52D0,3
勖,1-14-70,U+52D6,3
勛,1-14-71,U+52DB,3
勤,1-14-72,U+FA34,3
勰,1-14-73,U+52F0,3
勻,1-14-74,U+52FB,3
匀,1-14-75,U+5300,3
匇,1-14-76,U+5307,3
匜,1-14-77,U+531C,3
卑,1-14-78,U+FA35,3
卡,1-14-79,U+5361,3
卣,1-14-80,U+5363,3
卽,1-14-81,U+537D,3
厓,1-14-82,U+5393,3
厝,1-14-83,U+539D,3
厲,1-14-84,U+53B2,3
吒,1-14-85,U+5412,3
吧,1-14-86,U+5427,3
呍,1-14-87,U+544D,3
咜,1-14-88,U+549C,3
呫,1-14-89,U+546B,3
呴,1-14-90,U+5474,3
呿,1-14-91,U+547F,3
咈,1-14-92,U+5488,3
咖,1-14-93,U+5496,3
咡,1-14-94,U+54A1,3
咩,1-15-01,U+54A9,3
哆,1-15-02,U+54C6,3
哿,1-15-03,U+54FF,3
唎,1-15-04,U+550E,3
唫,1-15-05,U+552B,3
唵,1-15-06,U+5535,3
啐,1-15-07,U+5550,3
啞,1-15-08,U+555E,3
喁,1-15-09,U+5581,3
喆,1-15-10,U+5586,3
