識別番号,漢字,漢検級,異体字
41,一,10級,
58,右,10級,
61,雨,10級,
87,円,10級,
105,王,10級,
127,音,10級,
131,下,10級,
133,火,10級,
138,花,10級,
196,貝,10級,
226,学,10級,
305,気,10級,
365,休,10級,
427,玉,10級,
432,金,10級,
359,九,10級,
452,空,10級,
513,月,10級,
514,犬,10級,
516,見,10級,
576,五,10級,
587,口,10級,
623,校,10級,
682,左,10級,
744,三,10級,
745,山,10級,
767,四,10級,
760,子,10級,
772,糸,10級,
807,字,10級,
810,耳,10級,
829,七,10級,
843,車,10級,
863,手,10級,
907,十,10級,
926,出,10級,
952,女,10級,
959,小,10級,
1009,上,10級,
1061,森,10級,
1070,人,10級,
1081,水,10級,
1106,正,10級,
1107,生,10級,
1115,青,10級,
1140,石,10級,
1141,赤,10級,
1170,先,10級,
1166,千,10級,
1167,川,10級,
1219,早,10級,
1225,草,10級,
1263,足,10級,
1279,村,10級,
1312,大,10級,
1348,男,10級,
1366,竹,10級,
1376,中,10級,
1378,虫,10級,
1396,町,10級,
1472,天,10級,
1480,田,10級,
1493,土,10級,
1577,二,10級,
1583,日,10級,
1584,入,10級,
1593,年,10級,
1630,白,10級,
1647,八,10級,
1716,百,10級,
1786,文,10級,
1886,本,10級,
1926,名,10級,
1876,木,10級,
1947,目,10級,
1138,夕,10級,
2045,立,10級,
2074,力,10級,
2076,林,10級,
2125,六,10級,
46,引,9級,
60,羽,9級,
67,雲,9級,
95,園,9級,
98,遠,9級,
632,黄,9級,
137,何,9級,
146,夏,9級,
147,家,9級,
144,科,9級,
159,歌,9級,
167,画,9級,
175,会,9級,
173,回,9級,
182,海,9級,
186,絵,9級,
197,外,9級,
211,角,9級,
228,楽,9級,
234,活,9級,
270,間,9級,
292,丸,9級,
295,岩,9級,
299,顔,9級,
320,帰,9級,
309,汽,9級,
316,記,9級,
362,弓,9級,
381,牛,9級,
391,魚,9級,
398,京,9級,
410,強,9級,
411,教,9級,
431,近,9級,
469,兄,9級,
471,形,9級,
478,計,9級,
545,元,9級,
551,原,9級,
548,言,9級,
559,古,9級,
558,戸,9級,
578,午,9級,
580,後,9級,
584,語,9級,
596,交,9級,
597,光,9級,
589,公,9級,
588,工,9級,
594,広,9級,
602,考,9級,
603,行,9級,
628,高,9級,
652,合,9級,
661,国,9級,
662,黒,9級,
670,今,9級,
693,才,9級,
706,細,9級,
723,作,9級,
753,算,9級,
780,姉,9級,
768,市,9級,
785,思,9級,
762,止,9級,
790,紙,9級,
808,寺,9級,
818,時,9級,
811,自,9級,
832,室,9級,
842,社,9級,
861,弱,9級,
869,首,9級,
891,秋,9級,
898,週,9級,
930,春,9級,
946,書,9級,
961,少,9級,
1020,場,9級,
1029,色,9級,
1031,食,9級,
1041,心,9級,
1065,新,9級,
1069,親,9級,
1080,図,9級,
1097,数,9級,
1118,星,9級,
1126,晴,9級,
1110,声,9級,
1109,西,9級,
1154,切,9級,
1160,雪,9級,
1190,線,9級,
1180,船,9級,
1197,前,9級,
1211,組,9級,
1221,走,9級,
1285,多,9級,
1293,太,9級,
1295,体,9級,
1314,台,9級,
659,谷,9級,
1357,知,9級,
1355,地,9級,
1356,池,9級,
1373,茶,9級,
1384,昼,9級,
1406,朝,9級,
1397,長,9級,
1405,鳥,9級,
1418,直,9級,
1430,通,9級,
1440,弟,9級,
1474,店,9級,
1475,点,9級,
1483,電,9級,
1499,冬,9級,
1498,刀,9級,
1504,東,9級,
1501,当,9級,
1524,答,9級,
1531,頭,9級,
1536,同,9級,
1542,道,9級,
1556,読,9級,
1570,内,9級,
1574,南,9級,
1581,肉,9級,
1609,馬,9級,
1628,買,9級,
1622,売,9級,
1639,麦,9級,
1656,半,9級,
1680,番,9級,
1738,父,9級,
1764,風,9級,
1785,分,9級,
1787,聞,9級,
1801,米,9級,
1817,歩,9級,
1823,母,9級,
1829,方,9級,
1875,北,9級,
1896,妹,9級,
1895,毎,9級,
1906,万,9級,
1928,明,9級,
1933,鳴,9級,
1941,毛,9級,
1949,門,9級,
1953,夜,9級,
1954,野,9級,
769,矢,9級,
1971,友,9級,
2012,曜,9級,
1992,用,9級,
2022,来,9級,
2038,理,9級,
2037,里,9級,
2130,話,9級,
6,悪,8級,
12,安,8級,
14,暗,8級,
21,委,8級,
33,意,8級,
19,医,8級,
40,育,8級,
51,員,8級,
55,飲,8級,
52,院,8級,
66,運,8級,
69,泳,8級,
82,駅,8級,
107,央,8級,
117,横,8級,
119,屋,8級,
129,温,8級,
132,化,8級,
148,荷,8級,
183,界,8級,
187,開,8級,
188,階,8級,
263,寒,8級,
275,感,8級,
276,漢,8級,
285,館,8級,
294,岸,8級,
328,期,8級,
317,起,8級,
355,客,8級,
375,宮,8級,
372,急,8級,
377,球,8級,
370,究,8級,
373,級,8級,
382,去,8級,
