ID,漢字,,,,
1,乂,乂,,,
2,几,几,,,
3,匕,匕,,,
4,匚,匚,,,
5,于,于,,,
6,兀,兀,,,
7,孑,孑,,,
8,尸,尸,,,
9,已,已,,,
10,幺,幺,,,
11,弋,弋,,,
12,丫,丫,,,
13,孒,孒,,,
14,屮,屮,,,
15,弌,一,弋,,
16,丐,丐,,,
17,亢,亠,几,,
18,仍,亻,乃,,
19,仄,厂,人,,
20,仆,亻,卜,,
21,仂,亻,力,,
22,卅,卅,,,
23,夬,夬,,,
24,夭,夭,,,
25,尹,尹,,,
26,弖,弓,一,,
27,戈,戈,,,
28,扎,扌,乚,,
29,曰,曰,,,
30,毋,毋,,,
31,丕,不,一,,
32,丱,丱,,,
33,弍,二,弋,,
34,仗,亻,丈,,
35,仞,亻,ノ,刀,
36,仭,亻,刄,,
37,仟,亻,千,,
38,冉,冉,,,
39,刋,チ,刂,,
40,匆,匆,,,
41,丗,丗,,,
42,卉,十,廾,,
43,卮,⺁,一,㔾,
44,叮,口,丁,,
45,叨,口,刀,,
46,叭,口,八,,
47,叺,口,入,,
48,圦,土,入,,
49,夲,大,十,,
50,孕,乃,子,,
51,屶,山,刀,,
52,戉,戉,,,
53,朮,朮,,,
54,艾,艹,乂,,
55,辷,一,辶,,
56,价,亻,介,,
57,伉,亻,亢,,
58,伜,亻,卆,,
59,冱,冫,互,,
60,凩,⺇,木,,
61,刔,夬,刂,,
62,刎,勿,刂,,
63,匈,勹,凶,,
64,卍,卍,,,
65,吁,口,于,,
66,夸,大,亏,,
67,奸,女,干,,
68,妁,女,勺,,
69,屹,山,乞,,
70,幵,干,干,,
71,并,并,,,
72,忖,忄,寸,,
73,戍,戊,丶,,
74,戌,戊,一,,
75,扞,扌,干,,
76,扛,扌,工,,
77,扣,扌,口,,
78,扠,扌,叉,,
79,扨,扌,刄,,
80,朿,朿,,,
81,朸,木,力,,
82,朶,乃,木,,
83,汕,氵,山,,
84,聿,聿,,,
85,犲,犭,才,,
86,阡,阝,千,,
87,艸,艸,,,
88,芍,艹,勺,,
89,芒,艹,亡,,
90,佚,亻,失,,
91,估,亻,古,,
92,佝,亻,句,,
93,佗,亻,它,,
94,佇,亻,宁,,
95,佞,亻,二,女,
96,兌,八,兄,,
97,冏,冂,儿,口,
98,刪,冊,刂,,
99,劬,句,力,,
100,劭,召,力,,
101,甸,勹,田,,
102,匣,匚,甲,,
103,吽,口,牛,,
104,听,口,斤,,
105,吭,口,亢,,
106,吼,口,孔,,
107,吮,口,允,,
108,吶,口,內,,
109,吩,口,分,,
110,吝,文,口,,
111,呎,口,尺,,
112,囮,囗,化,,
113,坎,土,欠,,
114,圻,土,斤,,
115,址,土,止,,
116,坏,土,不,,
117,夾,大,人,人,
118,妝,爿,女,,
119,妣,女,比,,
120,妍,女,开,,
121,孚,爫,子,,
122,孛,孛,,,
123,尨,尤,彡,,
124,屁,尸,比,,
125,岌,山,及の旧字,,
126,岑,山,今,,
127,岔,分,山,,
128,巫,工,人,人,
129,彷,彳,方,,
130,忻,忄,斤,,
131,忤,忄,午,,
132,忸,忄,丑,,
133,忱,忄,冘,,
134,忰,忄,卆,,
135,扼,扌,厄,,
136,抉,扌,夬,,
137,找,扌,戈,,
138,抒,扌,予,,
139,抓,扌,爪,,
140,抖,扌,斗,,
141,抃,扌,卞,,
142,抔,扌,不,,
143,抛,扌,九,力,
144,旱,日,干,,
145,杙,木,弋,,
146,杣,金,山,,
147,杠,土,工,,
148,杞,日,己,,
149,杆,月,干,,
150,肛,月,工,,
151,肚,月,土,,
152,肓,亡,月,,
153,汞,工,水,,
154,汪,氵,王,,
155,沍,氵,互,,
156,沚,氵,止,,
