識別番号,漢字,種類,異体字(表に含む)
1,亜,1. 常用漢字の通用字体,亞
2,哀,1. 常用漢字の通用字体,
3,挨,1. 常用漢字の通用字体,
4,愛,1. 常用漢字の通用字体,
5,曖,1. 常用漢字の通用字体,
6,悪,1. 常用漢字の通用字体,惡
7,握,1. 常用漢字の通用字体,
8,圧,1. 常用漢字の通用字体,
9,扱,1. 常用漢字の通用字体,
10,宛,1. 常用漢字の通用字体,
11,嵐,1. 常用漢字の通用字体,
12,安,1. 常用漢字の通用字体,
13,案,1. 常用漢字の通用字体,
14,暗,1. 常用漢字の通用字体,
15,以,1. 常用漢字の通用字体,
16,衣,1. 常用漢字の通用字体,
17,位,1. 常用漢字の通用字体,
18,囲,1. 常用漢字の通用字体,
19,医,1. 常用漢字の通用字体,
20,依,1. 常用漢字の通用字体,
21,委,1. 常用漢字の通用字体,
22,威,1. 常用漢字の通用字体,
23,為,1. 常用漢字の通用字体,爲
24,畏,1. 常用漢字の通用字体,
25,胃,1. 常用漢字の通用字体,
26,尉,1. 常用漢字の通用字体,
27,異,1. 常用漢字の通用字体,
28,移,1. 常用漢字の通用字体,
29,萎,1. 常用漢字の通用字体,
30,偉,1. 常用漢字の通用字体,
31,椅,1. 常用漢字の通用字体,
32,彙,1. 常用漢字の通用字体,
33,意,1. 常用漢字の通用字体,
34,違,1. 常用漢字の通用字体,
35,維,1. 常用漢字の通用字体,
36,慰,1. 常用漢字の通用字体,
37,遺,1. 常用漢字の通用字体,
38,緯,1. 常用漢字の通用字体,
39,域,1. 常用漢字の通用字体,
40,育,1. 常用漢字の通用字体,
41,一,1. 常用漢字の通用字体,
42,壱,1. 常用漢字の通用字体,
43,逸,1. 常用漢字の通用字体,逸
44,茨,1. 常用漢字の通用字体,
45,芋,1. 常用漢字の通用字体,
46,引,1. 常用漢字の通用字体,
47,印,1. 常用漢字の通用字体,
48,因,1. 常用漢字の通用字体,
49,咽,1. 常用漢字の通用字体,
50,姻,1. 常用漢字の通用字体,
51,員,1. 常用漢字の通用字体,
52,院,1. 常用漢字の通用字体,
53,淫,1. 常用漢字の通用字体,
54,陰,1. 常用漢字の通用字体,
55,飲,1. 常用漢字の通用字体,
56,隠,1. 常用漢字の通用字体,
57,韻,1. 常用漢字の通用字体,
58,右,1. 常用漢字の通用字体,
59,宇,1. 常用漢字の通用字体,
60,羽,1. 常用漢字の通用字体,
61,雨,1. 常用漢字の通用字体,
62,唄,1. 常用漢字の通用字体,
63,鬱,1. 常用漢字の通用字体,
64,畝,1. 常用漢字の通用字体,
65,浦,1. 常用漢字の通用字体,
66,運,1. 常用漢字の通用字体,
67,雲,1. 常用漢字の通用字体,
68,永,1. 常用漢字の通用字体,
69,泳,1. 常用漢字の通用字体,
70,英,1. 常用漢字の通用字体,
71,映,1. 常用漢字の通用字体,
72,栄,1. 常用漢字の通用字体,榮
73,営,1. 常用漢字の通用字体,
74,詠,1. 常用漢字の通用字体,
75,影,1. 常用漢字の通用字体,
76,鋭,1. 常用漢字の通用字体,
77,衛,1. 常用漢字の通用字体,衞
78,易,1. 常用漢字の通用字体,
79,疫,1. 常用漢字の通用字体,
80,益,1. 常用漢字の通用字体,
81,液,1. 常用漢字の通用字体,
82,駅,1. 常用漢字の通用字体,
83,悦,1. 常用漢字の通用字体,
84,越,1. 常用漢字の通用字体,
85,謁,1. 常用漢字の通用字体,謁
86,閲,1. 常用漢字の通用字体,
87,円,1. 常用漢字の通用字体,圓
88,延,1. 常用漢字の通用字体,
89,沿,1. 常用漢字の通用字体,
90,炎,1. 常用漢字の通用字体,
91,怨,1. 常用漢字の通用字体,
92,宴,1. 常用漢字の通用字体,
93,媛,1. 常用漢字の通用字体,
94,援,1. 常用漢字の通用字体,
95,園,1. 常用漢字の通用字体,薗
96,煙,1. 常用漢字の通用字体,
97,猿,1. 常用漢字の通用字体,
98,遠,1. 常用漢字の通用字体,
99,鉛,1. 常用漢字の通用字体,
100,塩,1. 常用漢字の通用字体,
101,演,1. 常用漢字の通用字体,
102,縁,1. 常用漢字の通用字体,緣
103,艶,1. 常用漢字の通用字体,
