識別番号,漢字,異体字(表に含む),漢検級,部首ID,部首,部首名
1,亜,亞,準2級,7,二,に
2,哀,,3級,30a,口,くち
3,挨,,2級,64b,扌,てへん
4,愛,,7級,61a,心,こころ
5,曖,,2級,72b,土,ひへん
6,悪,惡,8級,61a,心,こころ
7,握,,4級,64b,扌,てへん
8,圧,,6級,32a,土,つち
9,扱,,4級,64b,扌,てへん
10,宛,,2級,39,宀,うかんむり
11,嵐,,2級,45a,山,やま
12,安,,8級,39,宀,うかんむり
13,案,,7級,75a,木,き
14,暗,,8級,72b,金,ひへん
15,以,,7級,9a,人,ひと
16,衣,,7級,145a,衣,ころも
17,位,,7級,9b,亻,にんべん
18,囲,,6級,31,囗,くにがまえ
19,医,,8級,23,匸,かくしがまえ
20,依,,4級,9b,亻,にんべん
21,委,,8級,37a,女,おんな
22,威,,4級,37a,女,おんな
23,為,爲,4級,86c,灬,れんが・れっか
24,畏,,2級,102a,田,た
25,胃,,5級,130a,肉,にく
26,尉,,準2級,40,寸,すん
27,異,,5級,102a,田,た
28,移,,6級,115b,禾,のぎへん
29,萎,,2級,140c,艹,くさかんむり・そうこう
30,偉,,4級,9b,亻,にんべん
31,椅,,2級,75b,木,きへん
32,彙,,2級,57b,彑,けいがしら
33,意,,8級,61a,心,こころ
34,違,,4級,162c,辶,しんにょう・しんにゅう
35,維,,4級,120b,糸,いとへん
36,慰,,3級,61a,心,こころ
37,遺,,5級,162c,辶,しんにょう・しんにゅう
38,緯,,4級,120b,糸,いとへん
39,域,,5級,32b,土,つちへん
40,育,,8級,130a,肉,にく
41,一,,10級,1,一,いち
42,壱,,4級,33,士,さむらい
43,逸,逸,準2級,162c,辶,しんにょう・しんにゅう
44,茨,,7級,140c,艹,くさかんむり・そうこう
45,芋,,4級,140c,艹,くさかんむり・そうこう
46,引,,9級,56b,弓,ゆみへん
47,印,,7級,26a,卩,わりふ・ふしづくり
48,因,,6級,31,囗,くにがまえ
49,咽,,2級,30b,口,くちへん
50,姻,,準2級,37b,女,おんなへん
51,員,,8級,30a,口,くち
52,院,,8級,170b,阝,こざとへん
53,淫,,2級,85b,氵,さんずい
54,陰,,4級,170b,阝,こざとへん
55,飲,,8級,184c,飠,しょくへん
56,隠,,4級,170b,阝,こざとへん
57,韻,,準2級,180,音,おと
58,右,,10級,30a,口,くち
59,宇,,5級,39,宀,うかんむり
60,羽,,9級,124b,羽,はね
61,雨,,10級,173a,雨,あめ
62,唄,,2級,30b,口,くちへん
63,鬱,,2級,192,鬯,ちょう
64,畝,,準2級,102a,田,た
65,浦,,準2級,85b,氵,さんずい
66,運,,8級,162c,辶,しんにょう・しんにゅう
67,雲,,9級,173b,雨,あめかんむり・あまかんむり
68,永,,6級,85a,水,みず
69,泳,,8級,85b,氵,さんずい
70,英,,7級,140c,艹,くさかんむり・そうこう
71,映,,5級,72b,火,ひへん
72,栄,榮,7級,75a,木,き
73,営,,6級,60,ツ,つかんむり
74,詠,,3級,149b,言,ごんべん
75,影,,4級,58,彡,さんづくり
76,鋭,,4級,167b,金,かねへん
77,衛,衞,6級,144b,行,ぎょうがまえ・ゆきがまえ
78,易,,6級,72a,日,ひ
79,疫,,準2級,104,疒,やまいだれ
80,益,,6級,108,皿,さら
81,液,,6級,85b,氵,さんずい
82,駅,,8級,187b,馬,うまへん
83,悦,,3級,61b,忄,りっしんべん
84,越,,4級,156b,走,そうにょう
85,謁,謁,準2級,149b,言,ごんべん
86,閲,,3級,169b,門,もんがまえ
87,円,圓,10級,13,冂,どうがまえ・けいがまえ・まきがまえ
88,延,,5級,53,廴,えんにょう・いんにょう
89,沿,,5級,85b,氵,さんずい
90,炎,,3級,86a,火,ひ
91,怨,,2級,61a,心,こころ
92,宴,,3級,39,宀,うかんむり
93,媛,,7級,37b,女,おんなへん
94,援,,4級,64b,扌,てへん
95,園,薗,9級,31,囗,くにがまえ
96,煙,,4級,86b,火,ひへん
97,猿,,準2級,94b,犭,けものへん
98,遠,,9級,162c,辶,しんにょう・しんにゅう
99,鉛,,4級,167b,金,かねへん
100,塩,,7級,32b,土,つちへん
101,演,,6級,85b,氵,さんずい
102,縁,緣,4級,120b,糸,いとへん
103,艶,,2級,139,色,いろ
104,汚,,4級,85b,氵,さんずい
105,王,,10級,96b,王,おう
