漢字,部首ID,部首,部首名
一,1,一,いち
丁,1,一,いち
七,1,一,いち
万,1,一,いち
丈,1,一,いち
三,1,一,いち
上,1,一,いち
下,1,一,いち
不,1,一,いち
与,1,一,いち
且,1,一,いち
世,1,一,いち
丘,1,一,いち
丙,1,一,いち
両,1,一,いち
並,1,一,いち
中,2,丨,ぼう・たてぼう
串,2,丨,ぼう・たてぼう
丸,3,丶,てん
丹,3,丶,てん
主,3,丶,てん
丼,3,丶,てん
久,4,丿,の・はらいぼう
乏,4,丿,の・はらいぼう
乗,4,丿,の・はらいぼう
乙,5a,乙,おつ
九,5a,乙,おつ
乞,5a,乙,おつ
乾,5a,乙,おつ
乱,5b,乚,おつ
乳,5b,乚,おつ
了,6,亅,はねぼう
予,6,亅,はねぼう
争,6,亅,はねぼう
事,6,亅,はねぼう
二,7,二,に
互,7,二,に
五,7,二,に
井,7,二,に
亜,7,二,に
亡,8,亠,なべぶた・けいさんかんむり
交,8,亠,なべぶた・けいさんかんむり
享,8,亠,なべぶた・けいさんかんむり
京,8,亠,なべぶた・けいさんかんむり
亭,8,亠,なべぶた・けいさんかんむり
人,9a,人,ひと
以,9a,人,ひと
仁,9b,亻,にんべん
仏,9b,亻,にんべん
仕,9b,亻,にんべん
他,9b,亻,にんべん
付,9b,亻,にんべん
仙,9b,亻,にんべん
代,9b,亻,にんべん
仮,9b,亻,にんべん
仰,9b,亻,にんべん
仲,9b,亻,にんべん
件,9b,亻,にんべん
任,9b,亻,にんべん
伎,9b,亻,にんべん
伏,9b,亻,にんべん
伐,9b,亻,にんべん
休,9b,亻,にんべん
伝,9b,亻,にんべん
伯,9b,亻,にんべん
伴,9b,亻,にんべん
伸,9b,亻,にんべん
伺,9b,亻,にんべん
似,9b,亻,にんべん
但,9b,亻,にんべん
位,9b,亻,にんべん
低,9b,亻,にんべん
住,9b,亻,にんべん
佐,9b,亻,にんべん
体,9b,亻,にんべん
何,9b,亻,にんべん
作,9b,亻,にんべん
佳,9b,亻,にんべん
併,9b,亻,にんべん
使,9b,亻,にんべん
例,9b,亻,にんべん
侍,9b,亻,にんべん
供,9b,亻,にんべん
依,9b,亻,にんべん
価,9b,亻,にんべん
侮,9b,亻,にんべん
侯,9b,亻,にんべん
侵,9b,亻,にんべん
侶,9b,亻,にんべん
便,9b,亻,にんべん
係,9b,亻,にんべん
促,9b,亻,にんべん
俊,9b,亻,にんべん
俗,9b,亻,にんべん
保,9b,亻,にんべん
信,9b,亻,にんべん
修,9b,亻,にんべん
俳,9b,亻,にんべん
俵,9b,亻,にんべん
俸,9b,亻,にんべん
俺,9b,亻,にんべん
個,9b,亻,にんべん
倍,9b,亻,にんべん
倒,9b,亻,にんべん
候,9b,亻,にんべん
借,9b,亻,にんべん
倣,9b,亻,にんべん
値,9b,亻,にんべん
倫,9b,亻,にんべん
倹,9b,亻,にんべん
偉,9b,亻,にんべん
偏,9b,亻,にんべん
停,9b,亻,にんべん
健,9b,亻,にんべん
側,9b,亻,にんべん
偵,9b,亻,にんべん
偶,9b,亻,にんべん
偽,9b,亻,にんべん
傍,9b,亻,にんべん
傑,9b,亻,にんべん
備,9b,亻,にんべん
催,9b,亻,にんべん
傲,9b,亻,にんべん
債,9b,亻,にんべん
傷,9b,亻,にんべん
傾,9b,亻,にんべん
僅,9b,亻,にんべん
働,9b,亻,にんべん
像,9b,亻,にんべん
僕,9b,亻,にんべん
僚,9b,亻,にんべん
僧,9b,亻,にんべん
儀,9b,亻,にんべん
億,9b,亻,にんべん
儒,9b,亻,にんべん
償,9b,亻,にんべん
優,9b,亻,にんべん
今,9c,𠆢,ひとやね
介,9c,𠆢,ひとやね
令,9c,𠆢,ひとやね
企,9c,𠆢,ひとやね
会,9c,𠆢,ひとやね
余,9c,𠆢,ひとやね
倉,9c,𠆢,ひとやね
傘,9c,𠆢,ひとやね
元,10b,儿,ひとあし・にんにょう
兄,10b,儿,ひとあし・にんにょう
充,10b,儿,ひとあし・にんにょう
兆,10b,儿,ひとあし・にんにょう
先,10b,儿,ひとあし・にんにょう
光,10b,儿,ひとあし・にんにょう
克,10b,儿,ひとあし・にんにょう
免,10b,儿,ひとあし・にんにょう
児,10b,儿,ひとあし・にんにょう
党,10b,儿,ひとあし・にんにょう
入,11,入,いる
全,11,入,いる
内,11,入,いる
八,12a,八,はち
公,12a,八,はち
兼,12a,八,はち
六,12b,八,は
共,12b,八,は
兵,12b,八,は
具,12b,八,は
典,12b,八,は
円,13,冂,どうがまえ・けいがまえ・まきがまえ
冊,13,冂,どうがまえ・けいがまえ・まきがまえ
再,13,冂,どうがまえ・けいがまえ・まきがまえ
冗,14,冖,わかんむり・ひらかんむり
写,14,冖,わかんむり・ひらかんむり
冠,14,冖,わかんむり・ひらかんむり
冥,14,冖,わかんむり・ひらかんむり
冬,15,冫,にすい
冶,15,冫,にすい
冷,15,冫,にすい
凄,15,冫,にすい
准,15,冫,にすい
凍,15,冫,にすい
凝,15,冫,にすい
凡,16,几,つくえ
処,16,几,つくえ
凶,17,凵,うけばこ・かんがまえ
凸,17,凵,うけばこ・かんがまえ
凹,17,凵,うけばこ・かんがまえ
出,17,凵,うけばこ・かんがまえ
刀,18a,刀,かたな
