漢字,学年
一,1
右,1
雨,1
円,1
王,1
音,1
下,1
火,1
花,1
貝,1
学,1
気,1
九,1
休,1
玉,1
金,1
空,1
月,1
犬,1
見,1
五,1
口,1
校,1
左,1
三,1
山,1
子,1
四,1
糸,1
字,1
耳,1
七,1
車,1
手,1
十,1
出,1
女,1
小,1
上,1
森,1
人,1
水,1
正,1
生,1
青,1
夕,1
石,1
赤,1
千,1
川,1
先,1
早,1
草,1
足,1
村,1
大,1
男,1
竹,1
中,1
虫,1
町,1
天,1
田,1
土,1
二,1
日,1
入,1
年,1
白,1
八,1
百,1
文,1
木,1
本,1
名,1
目,1
立,1
力,1
林,1
六,1
引,2
羽,2
雲,2
園,2
遠,2
何,2
科,2
夏,2
家,2
歌,2
画,2
回,2
会,2
海,2
絵,2
外,2
角,2
楽,2
活,2
間,2
丸,2
岩,2
顔,2
汽,2
記,2
帰,2
弓,2
牛,2
魚,2
京,2
強,2
教,2
近,2
兄,2
形,2
計,2
元,2
言,2
原,2
戸,2
古,2
午,2
後,2
語,2
工,2
公,2
広,2
交,2
光,2
考,2
行,2
高,2
黄,2
合,2
谷,2
国,2
黒,2
今,2
才,2
細,2
作,2
算,2
止,2
市,2
矢,2
姉,2
思,2
紙,2
寺,2
自,2
時,2
室,2
社,2
弱,2
首,2
秋,2
週,2
春,2
書,2
少,2
場,2
色,2
食,2
心,2
新,2
親,2
図,2
数,2
西,2
声,2
星,2
晴,2
切,2
雪,2
船,2
線,2
前,2
組,2
走,2
多,2
太,2
体,2
台,2
地,2
池,2
知,2
茶,2
昼,2
長,2
鳥,2
朝,2
直,2
通,2
弟,2
店,2
点,2
電,2
刀,2
冬,2
当,2
東,2
答,2
頭,2
同,2
道,2
読,2
内,2
南,2
肉,2
馬,2
売,2
買,2
麦,2
半,2
番,2
父,2
風,2
分,2
聞,2
米,2
歩,2
母,2
方,2
北,2
毎,2
妹,2
万,2
明,2
鳴,2
毛,2
門,2
夜,2
野,2
友,2
用,2
曜,2
来,2
里,2
理,2
話,2
悪,3
安,3
暗,3
医,3
委,3
意,3
育,3
員,3
院,3
飲,3
運,3
泳,3
駅,3
央,3
横,3
屋,3
温,3
化,3
荷,3
界,3
開,3
階,3
寒,3
感,3
漢,3
館,3
岸,3
起,3
期,3
客,3
究,3
急,3
級,3
宮,3
