ID,旧字,新字,立命館,ID,旧字,新字,月刊誌「河川」
A0001,亞,亜,o,B0001,亞,亜,o
A0002,惡,悪,o,B0002,惡,悪,o
A0003,壓,圧,o,B0003,壓,圧,o
A0004,圍,囲,o,B0004,圍,囲,o
A0005,醫,医,o,B0005,爲,為,o
A0006,壹,壱,o,B0006,醫,医,o
A0007,稻,稲,o,B0007,壹,壱,o
A0008,飮,飲,o,B0008,稻,稲,o
A0009,隱,隠,o,B0009,飮,飲,o
A0010,營,営,o,B0010,隱,隠,o
A0011,榮,栄,o,B0011,羽,羽,o
A0012,衞,衛,o,B0012,營,営,o
A0013,驛,駅,o,B0013,榮,栄,o
A0014,圓,円,o,B0014,衞,衛,o
A0015,艷,艶,o,B0015,益,益,o
A0016,鹽,塩,o,B0016,驛,駅,o
A0017,奧,奥,o,B0017,悅,悦,o
A0018,應,応,o,B0018,圓,円,o
A0019,歐,欧,o,B0019,艷,艶,o
A0020,毆,殴,o,B0020,鹽,塩,o
A0021,穩,穏,o,B0021,奧,奥,o
A0022,假,仮,o,B0022,應,応,o
A0023,價,価,o,B0023,橫,横,o
A0024,畫,画,o,B0024,歐,欧,o
A0025,會,会,o,B0025,毆,殴,o
A0026,壞,壊,o,B0026,穩,穏,o
A0027,懷,懐,o,B0027,假,仮,o
A0028,繪,絵,o,B0028,價,価,o
A0029,擴,拡,o,B0029,畫,画,o
A0030,殼,殻,o,B0030,會,会,o
A0031,覺,覚,o,B0031,囘,回,o
A0032,學,学,o,B0032,懷,懐,o
A0033,嶽,岳,o,B0033,繪,絵,o
A0034,樂,楽,o,B0034,擴,拡,o
A0035,勸,勧,o,B0035,殼,殻,o
A0036,卷,巻,o,B0036,覺,覚,o
A0037,歡,歓,o,B0037,學,学,o
A0038,罐,缶,o,B0038,嶽,岳,o
A0039,觀,観,o,B0039,樂,楽,o
A0040,關,関,o,B0040,勸,勧,o
A0041,陷,陥,o,B0041,卷,巻,o
A0042,巖,巌,o,B0042,寬,寛,o
A0043,顏,顔,o,B0043,歡,歓,o
A0044,歸,帰,o,B0044,罐,缶,o
A0045,氣,気,o,B0045,觀,観,o
A0046,龜,亀,o,B0046,閒,間,o
A0047,僞,偽,o,B0047,關,関,o
A0048,戲,戯,o,B0048,陷,陥,o
A0049,犧,犠,o,B0049,館,館,o
A0050,舊,旧,o,B0050,巖,巌,o
A0051,據,拠,o,B0051,顏,顔,o
A0052,擧,挙,o,B0052,歸,帰,o
A0053,峽,峡,o,B0053,氣,気,o
A0054,挾,挟,o,B0054,龜,亀,o
A0055,狹,狭,o,B0055,僞,偽,o
A0056,堯,尭,o,B0056,戲,戯,o
A0057,曉,暁,o,B0057,犧,犠,o
A0058,區,区,o,B0058,卻,却,o
A0059,驅,駆,o,B0059,糺,糾,o
A0060,勳,勲,o,B0060,舊,旧,o
A0061,徑,径,o,B0061,據,拠,o
A0062,惠,恵,o,B0062,擧,挙,o
A0063,溪,渓,o,B0063,峽,峡,o
A0064,經,経,o,B0064,挾,挟,o
A0065,繼,継,o,B0065,敎,教,o
A0066,莖,茎,o,B0066,狹,狭,o
A0067,螢,蛍,o,B0067,鄕,郷,o
A0068,輕,軽,o,B0068,堯,尭,o
A0069,鷄,鶏,o,B0069,曉,暁,o
A0070,藝,芸,o,B0070,區,区,o
A0071,缺,欠,o,B0071,驅,駆,o
A0072,儉,倹,o,B0072,勳,勲,o
A0073,劍,剣,o,B0073,薰,薫,o
A0074,圈,圏,o,B0074,羣,群,o
A0075,檢,検,o,B0075,徑,径,o
A0076,權,権,o,B0076,惠,恵,o
A0077,獻,献,o,B0077,攜,携,o
A0078,縣,県,o,B0078,溪,渓,o
A0079,險,険,o,B0079,經,経,o
A0080,顯,顕,o,B0080,繼,継,o
A0081,驗,験,o,B0081,莖,茎,o
A0082,嚴,厳,o,B0082,螢,蛍,o
A0083,效,効,o,B0083,輕,軽,o
A0084,廣,広,o,B0084,鷄,鶏,o
A0085,恆,恒,o,B0085,藝,芸,o
A0086,鑛,鉱,o,B0086,缺,欠,o
A0087,號,号,o,B0087,儉,倹,o
A0088,國,国,o,B0088,劍,剣,o
A0089,濟,済,o,B0089,圈,圏,o
A0090,碎,砕,o,B0090,檢,検,o
A0091,齋,斎,o,B0091,權,権,o
A0092,劑,剤,o,B0092,獻,献,o
A0093,櫻,桜,o,B0093,縣,県,o
A0094,册,冊,o,B0094,險,険,o
A0095,雜,雑,o,B0095,顯,顕,o
A0096,參,参,o,B0096,驗,験,o
A0097,慘,惨,o,B0097,嚴,厳,o
A0098,棧,桟,o,B0098,效,効,o
A0099,蠶,蚕,o,B0099,廣,広,o
A0100,贊,賛,o,B0100,恆,恒,o
A0101,殘,残,o,B0101,鑛,鉱,o
A0102,絲,糸,o,B0102,號,号,o
A0103,齒,歯,o,B0103,國,国,o
A0104,兒,児,o,B0104,黑,黒,o
A0105,辭,辞,o,B0105,濟,済,o
A0106,濕,湿,o,B0106,碎,砕,o
A0107,實,実,o,B0107,齋,斎,o
A0108,舍,舎,o,B0108,劑,剤,o
A0109,寫,写,o,B0109,冱,冴,o
A0110,釋,釈,o,B0110,櫻,桜,o
A0111,壽,寿,o,B0111,册,冊,o
A0112,收,収,o,B0112,雜,雑,o
A0113,從,従,o,B0113,參,参,o
A0114,澁,渋,o,B0114,慘,惨,o
A0115,獸,獣,o,B0115,棧,桟,o
A0116,縱,縦,o,B0116,蠶,蚕,o
A0117,肅,粛,o,B0117,贊,賛,o
A0118,處,処,o,B0118,殘,残,o
A0119,敍,叙,o,B0119,絲,糸,o
A0120,奬,奨,o,B0120,飼,飼,o
A0121,將,将,o,B0121,齒,歯,o
A0122,燒,焼,o,B0122,兒,児,o
A0123,稱,称,o,B0123,辭,辞,o
A0124,證,証,o,B0124,濕,湿,o
A0125,乘,乗,o,B0125,實,実,o
A0126,剩,剰,o,B0126,舍,舎,o
A0127,壤,壌,o,B0127,寫,写,o
A0128,孃,嬢,o,B0128,釋,釈,o
A0129,條,条,o,B0129,壽,寿,o
A0130,淨,浄,o,B0130,收,収,o
A0131,疊,畳,o,B0131,從,従,o
A0132,穰,穣,o,B0132,澁,渋,o
A0133,讓,譲,o,B0133,獸,獣,o
A0134,釀,醸,o,B0134,縱,縦,o
A0135,囑,嘱,o,B0135,肅,粛,o
A0136,觸,触,o,B0136,處,処,o
A0137,寢,寝,o,B0137,緖,緒,o
A0138,愼,慎,o,B0138,諸,諸,o
A0139,晉,晋,o,B0139,敍,叙,o
A0140,眞,真,o,B0140,奬,奨,o
A0141,盡,尽,o,B0141,將,将,o
A0142,圖,図,o,B0142,牀,床,o
A0143,粹,粋,o,B0143,燒,焼,o
A0144,醉,酔,o,B0144,祥,祥,o
A0145,隨,随,o,B0145,稱,称,o
A0146,髓,髄,o,B0146,證,証,o
A0147,數,数,o,B0147,乘,乗,o
A0148,樞,枢,o,B0148,剩,剰,o
A0149,聲,声,o,B0149,壤,壌,o
A0150,靜,静,o,B0150,孃,嬢,o
A0151,齊,斉,o,B0151,條,条,o
A0152,攝,摂,o,B0152,淨,浄,o
A0153,竊,窃,o,B0153,疊,畳,o
A0154,專,専,o,B0154,穰,穣,o
A0155,戰,戦,o,B0155,讓,譲,o
A0156,淺,浅,o,B0156,釀,醸,o
A0157,潛,潜,o,B0157,囑,嘱,o
A0158,纖,繊,o,B0158,觸,触,o
A0159,踐,践,o,B0159,寢,寝,o
A0160,錢,銭,o,B0160,愼,慎,o
A0161,禪,禅,o,B0161,晉,晋,o
A0162,雙,双,o,B0162,眞,真,o
A0163,壯,壮,o,B0163,神,神,o
A0164,搜,捜,o,B0164,刄,刃,o
A0165,插,挿,o,B0165,盡,尽,o
A0166,爭,争,o,B0166,圖,図,o
A0167,總,総,o,B0167,粹,粋,o
A0168,聰,聡,o,B0168,醉,酔,o
A0169,莊,荘,o,B0169,隨,随,o
A0170,裝,装,o,B0170,髓,髄,o
A0171,騷,騒,o,B0171,數,数,o
A0172,臟,臓,o,B0172,樞,枢,o
A0173,藏,蔵,o,B0173,瀨,瀬,o
A0174,屬,属,o,B0174,晴,晴,o
A0175,續,続,o,B0175,淸,清,o
A0176,墮,堕,o,B0176,精,精,o
A0177,體,体,o,B0177,靑,青,o
A0178,對,対,o,B0178,聲,声,o
A0179,帶,帯,o,B0179,靜,静,o
A0180,滯,滞,o,B0180,齊,斉,o
A0181,臺,台,o,B0181,蹟,跡,o
A0182,瀧,滝,o,B0182,攝,摂,o
A0183,擇,択,o,B0183,竊,窃,o
