漢検漢字辞典掲載ページ,字種ID,字項ID,漢字テキスト,漢字画像,字体,漢検級,漢字ペディア,新字体統合における例外,漢字ペディアでの表示の例外,編集に関する注記
1,CT-000001,CE-000001,丫,,親字,1級,https://www.kanjipedia.jp/kanji/0000000200,,,
1,CT-000002,CE-000002,亜,,親字,準2級,https://www.kanjipedia.jp/kanji/0000000500,,,
1,CT-000002,CE-000003,亞,,旧字,1/準1級,https://www.kanjipedia.jp/kanji/0000000500,,,
1,CT-000003,CE-000004,阿,,親字,準1級,https://www.kanjipedia.jp/kanji/0000002900,,,
3,CT-000004,CE-000005,啞,,親字,準1級,https://www.kanjipedia.jp/kanji/0000007700,,,
3,CT-000004,CE-000006,唖,,旧字でない異体字,配当外,https://www.kanjipedia.jp/kanji/0000007700,,,
3,CT-000005,CE-000007,堊,,親字,1級,https://www.kanjipedia.jp/kanji/0000008600,,,
3,CT-000006,CE-000008,婀,,親字,1級,https://www.kanjipedia.jp/kanji/0000009100,,,
3,CT-000007,CE-000009,椏,,親字,1級,https://www.kanjipedia.jp/kanji/0000009600,,,
3,CT-000008,CE-000010,蛙,,親字,準1級,https://www.kanjipedia.jp/kanji/0000009900,,,
3,CT-000009,CE-000011,痾,,親字,1級,https://www.kanjipedia.jp/kanji/0000011100,,,
4,CT-000010,CE-000012,鴉,,親字,1級,https://www.kanjipedia.jp/kanji/0000011600,,,
4,CT-000010,CE-000013,,,旧字でない異体字,配当外,,,,漢字ペディア非掲載
4,CT-000011,CE-000014,錏,,親字,1級,https://www.kanjipedia.jp/kanji/0000012600,,,
4,CT-000012,CE-000015,鐚,,親字,1級,https://www.kanjipedia.jp/kanji/0000013100,,,
4,CT-000013,CE-000016,阨,,親字,1級,https://www.kanjipedia.jp/kanji/0000014200,,,
4,CT-000014,CE-000017,哀,,親字,3級,https://www.kanjipedia.jp/kanji/0000014800,,,
5,CT-000015,CE-000018,哇,,親字,1級,https://www.kanjipedia.jp/kanji/0000017600,,,
5,CT-000016,CE-000019,娃,,親字,準1級,https://www.kanjipedia.jp/kanji/0000017900,,,
5,CT-000017,CE-000020,埃,,親字,1級,https://www.kanjipedia.jp/kanji/0000018300,,,
5,CT-000018,CE-000021,挨,,親字,2級,https://www.kanjipedia.jp/kanji/0000019000,,,
5,CT-000019,CE-000022,欸,,親字,1級,https://www.kanjipedia.jp/kanji/0000019600,,,
5,CT-000020,CE-000023,愛,,親字,7級,https://www.kanjipedia.jp/kanji/0000020000,,,
7,CT-000021,CE-000024,隘,,親字,1級,https://www.kanjipedia.jp/kanji/0000024800,,,
7,CT-000022,CE-000025,鞋,,親字,1級,https://www.kanjipedia.jp/kanji/0000025400,,,
7,CT-000023,CE-000026,噯,,親字,1級,https://www.kanjipedia.jp/kanji/0000026000,,,
7,CT-000024,CE-000027,曖,,親字,2級,https://www.kanjipedia.jp/kanji/0000026500,,,
7,CT-000025,CE-000028,藹,,親字,1級,https://www.kanjipedia.jp/kanji/0000027200,,,
7,CT-000026,CE-000029,靄,,親字,1級,https://www.kanjipedia.jp/kanji/0000027700,,,
7,CT-000027,CE-000030,靉,,親字,1級,https://www.kanjipedia.jp/kanji/0000028400,,,
8,CT-000028,CE-000031,,"<img src=""/common/images/kanji/180/std_E598.png""/>",親字,1級,https://www.kanjipedia.jp/kanji/0000032400,,,
9,CT-000029,CE-000032,偓,,親字,準1級,https://www.kanjipedia.jp/kanji/0000041300,,,
9,CT-000030,CE-000033,悪,,親字,8級,https://www.kanjipedia.jp/kanji/0000041600,,,
9,CT-000030,CE-000034,惡,,旧字,1/準1級,https://www.kanjipedia.jp/kanji/0000041600,,,
11,CT-000031,CE-000035,幄,,親字,1級,https://www.kanjipedia.jp/kanji/0000049400,,,
11,CT-000032,CE-000036,握,,親字,4級,https://www.kanjipedia.jp/kanji/0000050200,,,
