文字,総画数,名称　他,種類
亻,2,にんべん,漢字の構成要素（部首、字体記述要素など）
𠆢,2,ひとがしら　ひとやね,漢字の構成要素（部首、字体記述要素など）
𠘨,2,かぜかんむり　かぜがまえ,漢字の構成要素（部首、字体記述要素など）
刂,2,りっとう,漢字の構成要素（部首、字体記述要素など）
𠂉,2,字体記述要素,漢字の構成要素（部首、字体記述要素など）
忄,3,りっしんべん,漢字の構成要素（部首、字体記述要素など）
扌,3,てへん,漢字の構成要素（部首、字体記述要素など）
氵,3,さんずい,漢字の構成要素（部首、字体記述要素など）
丬,3,しょうへん,漢字の構成要素（部首、字体記述要素など）
犭,3,けものへん,漢字の構成要素（部首、字体記述要素など）
艹,3,くさ　くさかんむり　そうこう,漢字の構成要素（部首、字体記述要素など）
䒑,3,くさ　くさかんむり　そうこう,漢字の構成要素（部首、字体記述要素など）
辶,3,しんにょう　しんにゅう,漢字の構成要素（部首、字体記述要素など）
阝,3,おおざと（邑）／こざと（阜）,漢字の構成要素（部首、字体記述要素など）
攵,4,のぶん,漢字の構成要素（部首、字体記述要素など）
㣺,4,したごころ,漢字の構成要素（部首、字体記述要素など）
灬,4,れっか　れんが,漢字の構成要素（部首、字体記述要素など）
爫,4,つめかんむり　つめがしら　のつ,漢字の構成要素（部首、字体記述要素など）
爫,4,つめかんむり　つめがしら　のつ,漢字の構成要素（部首、字体記述要素など）
礻,4,しめす　しめすへん,漢字の構成要素（部首、字体記述要素など）
㓁,4,あみ　あみがしら,漢字の構成要素（部首、字体記述要素など）
耂,4,おい　おいかんむり　おいがしら,漢字の構成要素（部首、字体記述要素など）
艹,4,あげまき　つのかんむり,漢字の構成要素（部首、字体記述要素など）
艹,4,くさ　くさかんむり　そうこう,漢字の構成要素（部首、字体記述要素など）
辶,4,しんにょう　しんにゅう,漢字の構成要素（部首、字体記述要素など）
氺,5,したみず,漢字の構成要素（部首、字体記述要素など）
𤴔,5,ひき　ひきへん,漢字の構成要素（部首、字体記述要素など）
𦉰,5,あみ　あみがしら,漢字の構成要素（部首、字体記述要素など）
罒,5,あみ　あみがしら,漢字の構成要素（部首、字体記述要素など）
衤,5,ころも　ころもへん,漢字の構成要素（部首、字体記述要素など）
𡗗,5,字体記述要素,漢字の構成要素（部首、字体記述要素など）
𦍌,6,ひつじ,漢字の構成要素（部首、字体記述要素など）
覀,6,にし　かなめのかしら　おおいかんむり,漢字の構成要素（部首、字体記述要素など）
𧾷,7,あし　あしへん,漢字の構成要素（部首、字体記述要素など）
镸,7,ながい,漢字の構成要素（部首、字体記述要素など）
飠,8,しょく　しょくへん,漢字の構成要素（部首、字体記述要素など）
𠦝,8,ながい,漢字の構成要素（部首、字体記述要素など）
𩙿,9,しょく　しょくへん,漢字の構成要素（部首、字体記述要素など）
𦰩,10,字体記述要素,漢字の構成要素（部首、字体記述要素など）
𤇾,10,字体記述要素,漢字の構成要素（部首、字体記述要素など）
𦥯,13,字体記述要素,漢字の構成要素（部首、字体記述要素など）
妛,7,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
暃,12,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
椦,12,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
彁,13,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
墸,15,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
駲,16,音義未詳,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
蟐,17,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
壥,20,誤掲出,漢字とみなされるもの、および誤掲出（典拠などが未詳の文字）
〇,(1),漢数字ゼロ,その他の特殊な記号や文字
〻,(2),二の字点、ゆすり点,その他の特殊な記号や文字
々,(3),繰返し記号,その他の特殊な記号や文字
圕,(14),図書館,その他の特殊な記号や文字
囍,(24),双喜字,その他の特殊な記号や文字
